Ticker,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,Founded,CEO Name,Gender,Salary,Date Announced as CEO
A,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413.00 ",3/18/15
AAL,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Robert Isom,M,"$4,886,649.00 ",3/31/22
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,1977,Tim Cook,M,"$99,420,097.00 ",8/24/11
ABBV,Health Care,Biotechnology,"North Chicago, Illinois",12/31/12,2012,Richard Gonzalez,M,"$26,287,185.00 ",2/20/24
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/23,2008,Brian Chesky,M,"$295,130,000.00 ",12/10/20
ABT,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/57,1888,Robert Ford,M,"$21,722,152.00 ",11/13/19
ACGL,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",11/1/22,1995,Marc Grandisson,M,"$12,101,639.00 ",3/3/18
ACN,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1989,Julie Sweet,F,"$33,701,108.00 ",7/11/19
ADBE,Information Technology,Application Software,"San Jose, California",5/5/97,1982,Shantanu Narayen,M,"$31,600,311.00 ",2/28/17
ADI,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/99,1965,Vincent Roche,M,"$22,098,295.00 ",5/1/13
ADM,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",3/4/57,1902,Juan Richardo Luciano,M,"$24,749,178.00 ",11/6/14
ADP,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",3/31/81,1949,Carlos Rodriguez,M,"$20,827,092.00 ",10/26/22
ADSK,Information Technology,Application Software,"San Francisco, California",12/1/89,1982,Andrew Anagnost,M,"$17,600,752.00 ",6/19/17
AEE,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1902,Martin Lyons,M,"$7,357,331.00 ",1/1/22
AEP,Utilities,Electric Utilities,"Columbus, Ohio",3/4/57,1906,Nicholas Akins,M,"$16,375,508.00 ",12/20/10
AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,1981,Andres Gluski,M,"$12,525,258.00 ",9/6/11
AFL,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,1955,Daniel Amos,M,"$15,776,291.00 ",10/25/16
AIG,Financials,Multi-line Insurance,"New York City, New York",3/31/80,1919,Peter Zaffino,M,"$75,314,199.00 ",3/1/21
AIZ,Financials,Multi-line Insurance,"Atlanta, Georgia",4/10/07,1892,Keith Demmings,M,"$8,372,281.00 ",1/1/22
AJG,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,1927,Pat Gallagher,M,"$14,194,926.00 ",1/1/95
AKAM,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1998,Dr. Tom Leighton,M,"$11,982,771.00 ",10/29/99
ALB,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,1994,Kent Masters,M,"$11,118,156.00 ",5/5/20
ALGN,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/17,1997,Joseph Hogan,M,"$18,684,044.00 ",7/17/08
ALL,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/95,1931,Thomas Wilson,M,"$15,005,001.00 ",9/26/06
ALLE,Industrials,Building Products,"Dublin, Ireland",12/2/13,1908,David Petratis,M,"$7,896,757.00 ",7/11/22
