Ticker,Year,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,Founded,CEO Name,Gender,Salary,Date,CEO Transition,Tenure Bucket
A,2015,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,1,<= 2 years
A,2016,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,<= 2 years
A,2017,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,<= 2 years
A,2018,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,2 to 5 years
A,2019,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,2 to 5 years
A,2020,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,2 to 5 years
A,2021,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,5 to 10 years
A,2022,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,5 to 10 years
A,2023,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1999,Michael McMullen,M,"$16,647,413 ",3/18/15,0,5 to 10 years
AAL,2015,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,5 to 10 years
AAL,2016,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,2 to 5 years
AAL,2017,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,2 to 5 years
AAL,2018,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,2 to 5 years
AAL,2019,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,5 to 10 years
AAL,2020,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,0,5 to 10 years
AAL,2021,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Doug Parker,M,"$4,886,649 ",1/1/21,1,<= 2 years
AAL,2022,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Robert Isom,M,"$4,886,649 ",3/31/22,1,<= 2 years
AAL,2023,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/15,1934,Robert Isom,M,"$4,886,649 ",3/31/22,0,<= 2 years
