Year,Outperformed?,Interest Rate (Federal Funds Effective Rate),CPI,UnemploymentRate,GDPGrowthRate,GICS Sector,GICS Sub-Industry,Founded,Gender,CEO Transition,Tenure Bucket,HQ_US_State_or_Country,Salary_Bucket
2015,1,0.11,0.1,5.3,2.9,Health Care,Life Sciences Tools & Services,1999,M,1.0,<= 2 years,California,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Health Care,Life Sciences Tools & Services,1999,M,0.0,<= 2 years,California,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Life Sciences Tools & Services,1999,M,0.0,<= 2 years,California,"(15000000, 20000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Life Sciences Tools & Services,1999,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Life Sciences Tools & Services,1999,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Life Sciences Tools & Services,1999,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Health Care,Life Sciences Tools & Services,1999,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Life Sciences Tools & Services,1999,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Life Sciences Tools & Services,1999,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Industrials,Passenger Airlines,1934,M,0.0,5 to 10 years,Texas,"(0, 5000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Passenger Airlines,1934,M,0.0,2 to 5 years,Texas,"(0, 5000000]"
2017,0,0.65,2.1,4.4,2.5,Industrials,Passenger Airlines,1934,M,0.0,2 to 5 years,Texas,"(0, 5000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Passenger Airlines,1934,M,0.0,2 to 5 years,Texas,"(0, 5000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Passenger Airlines,1934,M,0.0,5 to 10 years,Texas,"(0, 5000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Passenger Airlines,1934,M,0.0,5 to 10 years,Texas,"(0, 5000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Passenger Airlines,1934,M,1.0,<= 2 years,Texas,"(0, 5000000]"
2022,0,0.08,8.0,3.6,1.9,Industrials,Passenger Airlines,1934,M,1.0,<= 2 years,Texas,"(0, 5000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Passenger Airlines,1934,M,0.0,<= 2 years,Texas,"(0, 5000000]"
2015,0,0.11,0.1,5.3,2.9,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,<= 2 years,California,"(50000000, 300000000]"
2016,1,0.34,1.3,4.9,1.8,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,2 to 5 years,California,"(50000000, 300000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2018,0,1.41,2.4,3.9,3.0,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2021,1,0.09,4.7,5.4,5.8,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,5 to 10 years,California,"(50000000, 300000000]"
2022,0,0.08,8.0,3.6,1.9,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,10+ years,California,"(50000000, 300000000]"
2023,1,4.33,3.2,3.5,2.5,Information Technology,"Technology Hardware, Storage & Peripherals",1977,M,0.0,10+ years,California,"(50000000, 300000000]"
2015,0,0.11,0.1,5.3,2.9,Health Care,Biotechnology,2012,M,0.0,10+ years,Illinois,"(25000000, 50000000]"
2016,0,0.34,1.3,4.9,1.8,Health Care,Biotechnology,2012,M,0.0,2 to 5 years,Illinois,"(25000000, 50000000]"
2017,1,0.65,2.1,4.4,2.5,Health Care,Biotechnology,2012,M,0.0,2 to 5 years,Illinois,"(25000000, 50000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Biotechnology,2012,M,0.0,2 to 5 years,Illinois,"(25000000, 50000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Biotechnology,2012,M,0.0,5 to 10 years,Illinois,"(25000000, 50000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Biotechnology,2012,M,0.0,5 to 10 years,Illinois,"(25000000, 50000000]"
2021,0,0.09,4.7,5.4,5.8,Health Care,Biotechnology,2012,M,0.0,5 to 10 years,Illinois,"(25000000, 50000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Biotechnology,2012,M,0.0,5 to 10 years,Illinois,"(25000000, 50000000]"
2023,0,4.33,3.2,3.5,2.5,Health Care,Biotechnology,2012,M,0.0,10+ years,Illinois,"(25000000, 50000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,M,0.0,10+ years,California,"(50000000, 300000000]"
