ticker,stock_name,headquarters,cagr_2023,cagr_2022,cagr_2021,cagr_2020,cagr_2019,cagr_2018,cagr_2017,cagr_2016,cagr_2015
A,Agilent Technologies,"Santa Clara, California",-8.5088,-5.8805,34.2273,37.9395,28.2857,0.0593,45.8088,10.9596,1.5299
AAL,American Airlines Group,"Fort Worth, Texas",6.4291,-30.2249,13.3123,-45.5832,-8.8366,-38.6394,10.0465,13.0782,-21.9786
AAPL,Apple Inc.,"Cupertino, California",47.7817,-26.9358,32.9913,79.1656,89.5862,-7.299,46.1399,12.874,-5.5032
ABBV,AbbVie,"North Chicago, Illinois",-4.3631,19.3486,26.3295,20.2851,-2.9592,-5.0957,53.7031,7.8539,-9.4743
ABNB,Airbnb,"San Francisco, California",55.7933,-48.2749,10.2656,0,0,0,0,0,0
ABT,Abbott,"North Chicago, Illinois",-0.3982,-21.258,28.4945,27.2252,23.3982,24.2784,47.7349,-12.5853,-0.7514
ACGL,Arch Capital Group,"Hamilton, Bermuda",18.6232,41.0786,22.9599,-16.1358,62.6469,-12.1149,4.5376,25.3851,17.8209
ACN,Accenture,"Dublin, Ireland",30.3529,-35.6485,58.8314,23.8784,51.5655,-8.1368,30.4226,14.1395,16.5384
ADBE,Adobe Inc.,"San Jose, California",75.388,-40.6106,13.344,51.5515,49.975,28.6551,69.4286,12.1826,29.216
ADI,Analog Devices,"Wilmington, Massachusetts",19.9251,-6.3595,18.4035,22.9956,41.4257,-3.8212,22.6309,33.8864,-0.6466
ADM,Archer-Daniels-Midland,"Chicago, Illinois",-22.1348,37.3521,34.1071,8.2457,14.247,1.9154,-12.2784,26.4193,-29.7318
ADP,Automatic Data Processing,"Roseland, New Jersey",-3.2476,-2.53,40.1262,2.4657,32.0068,13.0053,14.4657,23.9358,2.0969
ADSK,Autodesk,"San Francisco, California",27.7306,-33.4343,-7.5367,65.7565,46.3115,22.0904,40.504,23.3295,1.4485
AEE,Ameren,"St. Louis, Missouri",-18.71,-0.3697,14.6445,1.4557,18.0267,10.5968,12.1696,21.6323,-6.6105
AEP,American Electric Power,"Columbus, Ohio",-14.4152,7.1308,6.7683,-11.8836,26.672,2.1317,16.7592,8.8897,-4.2871
AES,AES Corporation,"Arlington, Virginia",-33.1597,17.8206,2.4884,17.6765,39.4534,33.0267,-7.1979,23.0932,-30.9524
AFL,Aflac,"Columbus, Georgia",14.6152,22.7017,30.9193,-16.1576,18.6365,3.1236,25.239,18.3875,-2.6016
AIG,American International Group,"New York City, New York",6.777,10.5981,51.0226,-26.6847,31.9537,-34.3167,-9.6588,7.6657,9.6232
AIZ,Assurant,"Atlanta, Georgia",34.2336,-20.0333,14.4262,3.5736,48.4317,-11.8297,7.689,17.6336,17.5423
AJG,Arthur J. Gallagher & Co.,"Rolling Meadows, Illinois",19.148,11.371,37.2291,29.3902,31.0625,15.9717,21.6923,28.6139,-13.3545
AKAM,Akamai,"Cambridge, Massachusetts",39.2353,-28.0533,11.2865,20.9005,46.7301,-6.2183,-3.315,28.7259,-17.092
ALB,Albemarle Corporation,"Charlotte, North Carolina",-34.0726,-8.3935,52.8908,100.7075,-3.6412,-40.2234,46.747,56.5945,-7.2221
ALGN,Align Technology,"Tempe, Arizona",27.1698,-67.8653,19.5721,90.0356,35.9049,-5.9207,130.2726,47.9151,15.0419
ALL,Allstate,"Northbrook, Illinois",3.2758,15.1592,7.0519,-2.691,38.0771,-20.6015,41.5,21.7477,-12.0414
ALLE,Allegion,"Dublin, Ireland",17.5777,-20.3662,13.7605,-6.7393,58.3471,-0.4496,23.0817,-1.3563,18.7962
AMAT,Applied Materials,"Santa Clara, California",62.4436,-38.2655,80.376,39.1936,90.5119,-36.6486,57.9728,76.2425,-25.2901
AMCR,Amcor,"Warmley, Bristol, United Kingdom",-19.0596,-0.9151,2.6496,8.1802,16.5591,-21.1864,11.0066,10.1554,-13.8393
AMD,Advanced Micro Devices,"Santa Clara, California",123.3485,-55.3741,56.2262,95.7106,154.6363,77.1593,-9.9825,309.3863,7.4906
AME,Ametek,"Berwyn, Pennsylvania",17.6273,-5.1138,21.4203,20.7589,49.4456,-7.1203,47.7773,-8.059,1.5732
AMGN,Amgen,"Thousand Oaks, California",10.4075,17.444,-2.7157,-5.3827,25.2182,11.018,17.6112,-8.044,1.3549
AMP,Ameriprise Financial,"Minneapolis, Minnesota",21.1579,2.5323,54.4598,15.9902,61.0402,-38.8361,49.8144,6.7449,-19.9729
AMT,American Tower,"Boston, Massachusetts",0.8785,-27.537,29.3847,-2.2727,46.2797,10.4987,33.6738,9.7518,-2.2287
AMZN,Amazon,"Seattle, Washington",77.7908,-49.8657,1.9676,73.7029,26.1152,28.1544,54.2999,14.2589,116.2294
ANET,Arista Networks,"Santa Clara, California",91.6117,-15.7818,97.7576,41.2729,-0.7805,-10.5612,141.5214,24.3031,28.1106
ANSS,Ansys,"Canonsburg, Pennsylvania",47.9512,-39.4435,10.6996,41.5509,83.6151,-3.5167,58.4944,1.1926,12.6812
AON,Aon,"London, UK",-3.3317,-0.0133,42.4185,0.9895,45.0689,8.2756,19.5468,22.9523,-3.4349
AOS,A. O. Smith,"Milwaukee, Wisconsin",42.4819,-33.3178,56.947,14.4229,12.8643,-30.5126,28.4696,25.4803,35.3055
APA,APA Corporation,"Houston, Texas",-21.813,72.3781,83.5495,-44.786,-0.0781,-38.4525,-34.7551,43.435,-28.4818
APD,Air Products and Chemicals,"Allentown, Pennsylvania",-11.6945,1.2282,10.4833,16.1403,49.3043,-2.9294,14.2937,21.2615,-9.2614
APH,Amphenol,"Wallingford, Connecticut",29.227,-13.2802,33.6083,20.6365,35.8308,-8.4209,29.9393,31.5841,-3.3315
APTV,Aptiv,"Dublin, Ireland",-5.3686,-44.0257,25.5709,35.8036,57.3654,-27.4708,49.1778,-20.2487,16.7665
ARE,Alexandria Real Estate Equities,"Pasadena, California",-13.7736,-34.724,25.0617,10.0599,41.3896,-12.0305,16.7546,23.9322,1.4028
ATO,Atmos Energy,"Dallas, Texas",3.169,6.7333,9.8218,-14.8251,21.2049,7.9018,15.5367,17.6611,12.7325
AVB,AvalonBay Communities,"Arlington, Virginia",15.3543,-36.8841,57.7997,-23.7717,21.5159,-2.5421,0.0617,-2.8517,12.2333
AVGO,Broadcom Inc.,"Palo Alto, California",97.5664,-16.0869,51.4602,37.1195,26.9922,-2.1134,44.0911,24.4246,43.8125
AVY,Avery Dennison,"Mentor, Ohio",11.0769,-16.5168,39.3091,17.9275,47.5857,-21.9887,62.3233,13.8457,20.1995
AWK,American Water Works,"Camden, New Jersey",-14.164,-19.3417,23.0118,24.7724,35.8209,-0.2528,26.4198,21.2466,12.1013
AXON,Axon Enterprise,"Scottsdale, Arizona",53.8778,5.9578,27.6319,65.5363,70.4582,64.9698,8.6066,42.5882,-35.2434
AXP,American Express,"New York City, New York",25.2775,-10.1878,34.8722,-3.0082,32.5631,-4.4219,32.6078,8.7972,-25.3515
AZO,AutoZone,"Memphis, Tennessee",5.9021,18.7096,77.1258,-0.7884,43.2431,16.9984,-10.5847,7.7476,18.8996
BA,Boeing,"Arlington, Virginia",35.092,-6.6225,-4.1333,-34.8471,3.0267,9.0448,88.682,10.1146,10.3151
BAC,Bank of America,"Charlotte, North Carolina",1.3241,-26.5469,46.0604,-14.2574,46.2625,-17.1765,30.6195,34.3465,-6.448
BALL,Ball Corporation,"Broomfield, Colorado",11.581,-46.707,4.9493,44.0854,42.9171,20.6191,-0.0132,4.8317,6.0204
BAX,Baxter International,"Deerfield, Illinois",-23.2937,-40.3999,6.6468,-5.6,26.697,-0.4085,45.6512,17.7377,-4.5861
BBWI,"Bath & Body Works, Inc.","Columbus, Ohio",0.9119,-39.7139,126.8863,103.7808,-27.78,-58.0898,-7.8641,-30.4017,10.1379
BBY,Best Buy,"Richfield, Minnesota",-3.2744,-21.6929,1.9875,12.8974,68.2315,-22.4143,59.0476,42.996,-22.2619
BDX,Becton Dickinson,"Franklin Lakes, New Jersey",-7.169,4.1672,0.1912,-8.0378,22.5256,4.7561,32.1766,9.9124,9.8524
BEN,Franklin Templeton,"San Mateo, California",11.0738,-21.7443,33.96,-2.4209,-11.5123,-32.2367,7.6789,11.055,-34.0734
BG,Bunge Global SA,"Chesterfield, Missouri",1.0005,6.6831,41.6262,13.2251,8.2377,-20.5117,-7.933,7.0539,-24.868
BIIB,Biogen,"Cambridge, Massachusetts",-6.4901,15.3113,-2.3684,-18.1235,-0.0371,-6.2992,11.4583,-5.5803,-10.6434
BIO,Bio-Rad,"Hercules, California",-24.3959,-44.0964,30.0487,56.6706,61.0717,-2.7025,30.4493,33.4505,14.1516
BK,Bank of New York Mellon,"New York City, New York",13.2014,-22.3208,36.6588,-15.8938,8.1203,-13.267,12.1383,17.5974,1.1534
BKNG,Booking Holdings,"Norwalk, Connecticut",73.9831,-16.8271,6.6324,7.6808,21.4327,-1.5811,17.6605,16.7245,11.4467
BKR,Baker Hughes,"Houston, Texas",16.4963,22.5311,13.3836,-18.8084,20.9533,-32.198,-51.5393,41.7012,-17.3975
BLDR,Builders FirstSource,"Irving, Texas",153.1312,-24.7332,107.7818,59.4764,138.3677,-50.4091,94.2068,1.2927,59.6542
BLK,BlackRock,"New York City, New York",12.75,-22.8358,25.3162,41.4784,30.1388,-24.28,33.563,14.2626,-4.8774
